ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty
1,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,4,5,4,4,5,4,4,4,2,1,1,1,0,1,1,Female,23,5,4,1,1,1,10,1,1,0.89999998,0.89999998,0.5625,0.75,1,0,0,0
2,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 3, 4",4,5,5,4,4,4,4,3,4,1,1,1,0,0,0,1,Female,30,10,4,4,3,3,10,1,4,0.89999998,0.89999998,0.51249999,0.25,0,0,0,1
3,More than 3 Hours,"1, 4, 6",1,0,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,3,2,3,2,5,4,3,2,4,1,1,1,1,1,0,Male,22,14,4,1,1,4,14,3,4,0.60000002,0.73333335,0.5625,0.75,0,0,0,1
4,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,"2, 3, 4",3,4,4,4,4,5,4,3,2,2,1,1,0,0,1,1,Female,23,8,5,1,2,1,10,3,1,0.78750002,0.86250001,0.46250001,0.5,1,0,0,0
5,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,under 300 friends,"2, 3, 4",3,5,5,5,5,4,4,3,4,3,1,1,0,0,0,1,Female,29,8,5,5,2,3,8,1,1,0.9375,0.91250002,0.61250001,0.25,1,0,0,0
6,More than 3 Hours,"2, 6",0,1,0,0,0,1,between 1000-3000 friends,"2, 3",2,1,5,1,1,5,4,2,1,1,1,1,0,0,0,0,Female,24,13,5,1,2,1,13,1,4,0.47499999,0.55833334,0.36250001,0,0,0,0,1
7,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,3,5,2,4,4,4,2,4,2,1,1,0,0,0,1,Male,23,10,4,7,5,3,10,1,1,0.80000001,0.73333335,0.5625,0.25,1,0,0,0
8,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,5,5,3,5,3,3,3,4,4,"3, 4",2,0,0,0,0,Male,40,13,4,4,4,1,13,1,1,0.89999998,0.83333331,0.67500001,0,1,0,0,0
9,More than 3 Hours,"1, 5",1,0,0,0,1,0,under 300 friends,"1, 2, 3, 4",4,5,4,1,5,4,4,5,4,4,1,1,1,0,0,0,Male,29,10,4,4,2,1,10,3,1,0.75,0.85000002,0.66250002,0.25,1,0,0,0
10,More than 3 Hours,"1, 3, 4",1,0,1,1,0,0,between 3000-5000 friends,"1, 2, 3, 4",4,4,5,4,5,5,4,4,5,4,1,1,1,0,0,0,Female,24,8,4,1,1,1,9,1,1,0.94999999,0.91666669,0.71249998,0.25,1,0,0,0
11,Less than 1 Hour,"1, 5, 6",1,0,0,0,1,1,between 300-1000 friends,"1, 2, 3, 4",4,4,4,3,5,4,4,4,4,5,1,1,1,0,0,0,Female,23,13,5,1,1,1,13,1,1,0.85000002,0.81666666,0.71249998,0.25,1,0,0,0
12,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,between 1000-3000 friends,"2, 3",2,4,4,1,5,1,3,1,4,4,2,1,1,0,0,0,Female,30,9,4,4,3,1,13,1,1,0.625,0.54166669,0.61250001,0.25,1,0,0,0
13,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,4,5,4,4,5,4,3,4,5,3,1,1,0,0,1,Male,28,13,4,4,4,1,13,1,1,0.89999998,0.89999998,0.71249998,0.5,1,0,0,0
14,Between 1 Hour and 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,4,5,3,3,2,4,3,1,1,1,0,1,0,Female,24,10,4,1,1,1,10,1,1,0.94999999,0.7833333,0.5625,0.5,1,0,0,0
15,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2",2,4,4,4,4,4,5,2,4,4,1,1,1,0,0,0,Female,37,9,5,5,2,3,10,1,1,0.72500002,0.77500004,0.71249998,0.25,1,0,0,0
16,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,2,5,5,4,1,4,1,1,1,1,0,0,0,Female,24,9,4,1,2,2,10,1,1,0.85000002,0.88333333,0.51249999,0.25,1,0,0,0
17,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 1000-3000 friends,"2, 3, 4",3,5,5,4,4,4,5,3,3,3,1,1,0,0,0,0,Female,29,10,5,5,2,1,10,1,1,0.83749998,0.87916666,0.61250001,0,1,0,0,0
18,Between 1 Hour and 3 Hours,"2, 4, 5, 6",0,1,0,1,1,1,under 300 friends,"1, 2, 3, 4",4,4,4,4,4,4,4,1,4,1,1,1,1,0,0,1,Female,22,10,0,1,2,3,10,1,1,0.85000002,0.81666666,0.51249999,0.5,1,0,0,0
19,Between 1 Hour and 3 Hours,5,0,0,0,0,1,0,between 300-1000 friends,2,1,5,5,5,4,4,4,5,4,5,"3, 4",2,1,0,1,1,Female,32,7,4,7,2,1,7,2,3,0.76249999,0.85416669,0.77499998,0.75,0,0,1,0
20,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,4,4,1,4,5,3,1,1,3,2,1,0,0,0,1,Male,27,10,6,6,2,2,10,1,1,0.69999999,0.83333331,0.41249999,0.25,1,0,0,0
21,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"1, 2, 4",3,4,5,4,4,4,4,4,4,4,2,1,1,0,0,1,Female,29,10,4,7,3,3,10,1,1,0.83749998,0.8125,0.66250002,0.5,1,0,0,0
22,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,4,3,2,3,3,3,2,2,3,2,1,1,0,0,0,Female,29,10,4,7,3,1,10,1,4,0.64999998,0.68333334,0.46250001,0.25,0,0,0,1
23,More than 3 Hours,"1, 2, 3, 5",1,1,1,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,0,Female,32,13,5,5,2,1,13,1,1,0.85000002,0.81666666,0.66250002,0,1,0,0,0
24,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,2,1,2,2,1,4,2,2,2,3,1,2,1,0,0,0,0,Female,32,9,5,5,2,4,9,3,1,0.41249999,0.40416667,0.36250001,0,1,0,0,0
25,Between 1 Hour and 3 Hours,"2, 4, 5",0,1,0,1,1,0,between 1000-3000 friends,"2, 3, 4",3,3,4,3,3,3,3,3,3,3,1,1,0,0,0,0,Female,28,10,5,1,2,5,10,1,4,0.6875,0.62916666,0.51249999,0,0,0,0,1
26,More than 3 Hours,"2, 5",0,1,0,0,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,4,4,2,3,3,2,3,3,3,1,1,1,1,1,1,Female,21,10,0,1,1,3,10,3,1,0.69999999,0.69999999,0.46250001,1,1,0,0,0
27,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,4,4,5,4,3,4,5,3,"1, 3",2,1,0,0,1,Female,17,11,0,1,1,3,11,1,1,0.89999998,0.89999998,0.67500001,0.5,1,0,0,0
